"parameter","method","coverage","bias","MSE"
"DTE.14","group.time.ATT",0.998,5.31735560969582e-05,9.04472186398967e-06
"DTE.14","group.time.ATT.ever.adopted",0.845,0.00041050856837531,6.6744243415239e-05
"DTE.14","TWFE",0.932,8.75333797245385e-05,8.08766641049136e-05
"DTE.14","TWFE.ever.adopted",0.932,8.75333797245385e-05,8.08766641049136e-05
"DTE.15","group.time.ATT",0.999,5.49166998459715e-05,8.31491404414232e-06
"DTE.15","group.time.ATT.ever.adopted",0.867,0.000118790715231591,6.81247199542535e-05
"DTE.15","TWFE",0.928,-0.000134174283133407,7.79041285801563e-05
"DTE.15","TWFE.ever.adopted",0.928,-0.000134174283133407,7.79041285801563e-05
"DTE.16","group.time.ATT",0.996,-3.1318620158141e-05,9.67134236807773e-06
"DTE.16","group.time.ATT.ever.adopted",0.857,0.000230135278476028,6.28652230470594e-05
"DTE.16","TWFE",0.96,5.00343111785682e-05,7.86722287604197e-05
"DTE.16","TWFE.ever.adopted",0.96,5.00343111785682e-05,7.86722287604197e-05
"DTE.17","group.time.ATT",0.999,-9.51220343780556e-05,9.13529093167282e-06
"DTE.17","group.time.ATT.ever.adopted",0.836,0.00015995659914752,6.96517584162975e-05
"DTE.17","TWFE",0.948,-4.83733582156904e-05,7.94330031608471e-05
"DTE.17","TWFE.ever.adopted",0.948,-4.83733582156904e-05,7.94330031608471e-05
"DTE.18","group.time.ATT",0.997,-5.47066395742897e-05,8.89427146519874e-06
"DTE.18","group.time.ATT.ever.adopted",0.862,0.000206411455228263,7.29372277949623e-05
"DTE.18","TWFE",0.938,-6.44979621568768e-05,8.99820147021932e-05
"DTE.18","TWFE.ever.adopted",0.938,-6.44979621568768e-05,8.99820147021932e-05
"DTE.19","group.time.ATT",0.998,-0.000108897257051985,8.67693156917043e-06
"DTE.19","group.time.ATT.ever.adopted",0.842,0.000434399202112635,8.16950276803391e-05
"DTE.19","TWFE",0.945,0.000220492592917284,8.99404154417425e-05
"DTE.19","TWFE.ever.adopted",0.945,0.000220492592917284,8.99404154417425e-05
"DTE.2","group.time.ATT",0.998,-0.000166536575818632,7.85601322885659e-06
"DTE.2","group.time.ATT.ever.adopted",0.954,0.000251564838146692,3.4155418728517e-05
"DTE.2","TWFE",0.954,-3.31349282929217e-05,6.76973770617554e-05
"DTE.2","TWFE.ever.adopted",0.954,-3.31349282929217e-05,6.76973770617554e-05
"DTE.20","group.time.ATT",0.998,0.000124377638731082,9.17344461449349e-06
"DTE.20","group.time.ATT.ever.adopted",0.571,7.20428996802576e-05,7.59047127986284e-05
"DTE.20","TWFE",0.946,-0.000100341305260535,8.82387687944629e-05
"DTE.20","TWFE.ever.adopted",0.946,-0.000100341305260535,8.82387687944629e-05
"DTE.21","group.time.ATT",0.995,-3.34878059128539e-05,8.94834464047836e-06
"DTE.21","group.time.ATT.ever.adopted",0.571,-7.76015702497468e-05,8.03144641005816e-05
"DTE.21","TWFE",0.957,-5.50615462901299e-05,8.0440321980781e-05
"DTE.21","TWFE.ever.adopted",0.957,-5.50615462901299e-05,8.0440321980781e-05
"DTE.22","group.time.ATT",0.998,-6.46213784411915e-05,8.6360483110573e-06
"DTE.22","group.time.ATT.ever.adopted",0.554,1.71162906148187e-05,7.68909663202901e-05
"DTE.22","TWFE",0.968,0.000158036917211728,6.25181731473152e-05
"DTE.22","TWFE.ever.adopted",0.968,0.000158036917211728,6.25181731473152e-05
"DTE.23","group.time.ATT",0.999,-0.000128959486184849,8.78262626838995e-06
"DTE.23","group.time.ATT.ever.adopted",0.54,-6.86956232373464e-05,8.02175289289539e-05
"DTE.23","TWFE",0.962,4.45596883423613e-05,6.23954385519843e-05
"DTE.23","TWFE.ever.adopted",0.962,4.45596883423613e-05,6.23954385519843e-05
"DTE.24","group.time.ATT",0.997,-7.42092041556383e-05,1.0159120854567e-05
"DTE.24","group.time.ATT.ever.adopted",0.555,1.12645637136395e-05,7.88699093749328e-05
"DTE.24","TWFE",0.94,-7.83453416162181e-05,0.000101006172559481
"DTE.24","TWFE.ever.adopted",0.94,-7.83453416162181e-05,0.000101006172559481
"DTE.25","group.time.ATT",0.991,-8.32211600718029e-05,1.06897595296752e-05
"DTE.25","group.time.ATT.ever.adopted",0.562,-0.00046669076376704,8.17976955992469e-05
"DTE.25","TWFE",0.931,-0.00020155609499514,9.55469944024948e-05
"DTE.25","TWFE.ever.adopted",0.931,-0.00020155609499514,9.55469944024948e-05
"DTE.26","group.time.ATT",0.996,-0.000202066319701486,9.99808359225689e-06
