"parameter","method","coverage","bias","MSE"
"DTE..38","group.time.ATT",0.994,-3.99428657768257e-05,7.52427012963089e-06
"DTE..38","group.time.ATT.ever.adopted",0.992,-9.17371985498884e-05,1.04788327302771e-05
"DTE..38","TWFE",0.962,0.000167589915877996,2.01032928969142e-05
"DTE..38","TWFE.ever.adopted",0.962,0.000167589915877996,2.01032928969142e-05
"DTE..39","group.time.ATT",0.995,0.000111508629970464,7.46617260003047e-06
"DTE..39","group.time.ATT.ever.adopted",0.997,0.000101499139289413,9.51812902828717e-06
"DTE..39","TWFE",0.952,0.000189941049590618,2.15813481166735e-05
"DTE..39","TWFE.ever.adopted",0.952,0.000189941049590618,2.15813481166735e-05
"DTE..4","group.time.ATT",0.996,-2.07874870398775e-05,5.67692009297584e-06
"DTE..4","group.time.ATT.ever.adopted",0.994,-7.16313227025215e-05,1.19892747563908e-05
"DTE..4","TWFE",0.965,0.000105247832211164,2.23442754438795e-05
"DTE..4","TWFE.ever.adopted",0.965,0.000105247832211164,2.23442754438795e-05
"DTE..40","group.time.ATT",0.994,6.06703607463269e-05,7.45667073254603e-06
"DTE..40","group.time.ATT.ever.adopted",0.993,8.69490864873532e-05,9.91983960026318e-06
"DTE..40","TWFE",0.964,5.63742147058635e-05,2.02506846904135e-05
"DTE..40","TWFE.ever.adopted",0.964,5.63742147058635e-05,2.02506846904135e-05
"DTE..41","group.time.ATT",0.998,-1.88871818523889e-05,7.60403810463977e-06
"DTE..41","group.time.ATT.ever.adopted",0.995,-3.32057046587732e-05,9.89579487404752e-06
"DTE..41","TWFE",0.958,-1.58444007497422e-05,2.01530768543964e-05
"DTE..41","TWFE.ever.adopted",0.958,-1.58444007497422e-05,2.01530768543964e-05
"DTE..42","group.time.ATT",0.995,-0.000104085907408182,7.7041904452874e-06
"DTE..42","group.time.ATT.ever.adopted",0.988,-9.79501657728077e-05,1.04326428729377e-05
"DTE..42","TWFE",0.953,9.76075904220108e-05,2.05148280469914e-05
"DTE..42","TWFE.ever.adopted",0.953,9.76075904220108e-05,2.05148280469914e-05
"DTE..43","group.time.ATT",0.996,4.35165586763846e-05,7.78644763886647e-06
"DTE..43","group.time.ATT.ever.adopted",0.99,7.64276346546226e-05,1.07991639399493e-05
"DTE..43","TWFE",0.958,0.000121292831749214,1.99702303349682e-05
"DTE..43","TWFE.ever.adopted",0.958,0.000121292831749214,1.99702303349682e-05
"DTE..44","group.time.ATT",0.997,6.14898341007054e-05,7.25209440158659e-06
"DTE..44","group.time.ATT.ever.adopted",0.994,8.83535042206995e-05,1.04522291812797e-05
"DTE..44","TWFE",0.954,-1.54940273477404e-06,2.03570785290543e-05
"DTE..44","TWFE.ever.adopted",0.954,-1.54940273477404e-06,2.03570785290543e-05
"DTE..45","group.time.ATT",0.997,-2.45145416919021e-05,7.59720535695728e-06
"DTE..45","group.time.ATT.ever.adopted",0.991,-0.000108538940783,1.08003804316729e-05
"DTE..45","TWFE",0.949,3.92389816413387e-05,2.18774739432062e-05
"DTE..45","TWFE.ever.adopted",0.949,3.92389816413387e-05,2.18774739432062e-05
"DTE..46","group.time.ATT",0.998,-1.22487440375454e-05,7.66047114195751e-06
"DTE..46","group.time.ATT.ever.adopted",0.995,-3.4914011528667e-05,9.68023049122117e-06
"DTE..46","TWFE",0.957,-1.58268277259991e-05,2.19551516716879e-05
"DTE..46","TWFE.ever.adopted",0.957,-1.58268277259991e-05,2.19551516716879e-05
"DTE..47","group.time.ATT",0.996,4.68160044111824e-05,7.18575174031013e-06
"DTE..47","group.time.ATT.ever.adopted",0.995,0.000147785682089286,9.32864168770737e-06
"DTE..47","TWFE",0.953,0.000100271237530612,2.12512364640832e-05
"DTE..47","TWFE.ever.adopted",0.953,0.000100271237530612,2.12512364640832e-05
"DTE..48","group.time.ATT",0.999,7.2147590949038e-05,7.0398362416608e-06
"DTE..48","group.time.ATT.ever.adopted",0.988,-9.37461101385123e-05,9.89286384212373e-06
"DTE..48","TWFE",0.952,-3.82246770558688e-06,2.08467993660801e-05
"DTE..48","TWFE.ever.adopted",0.952,-3.82246770558688e-06,2.08467993660801e-05
"DTE..49","group.time.ATT",0.999,-0.000133148453122299,7.29492818607998e-06
"DTE..49","group.time.ATT.ever.adopted",0.992,4.57059164495746e-05,1.0144082129379e-05
"DTE..49","TWFE",0.95,6.43850766609686e-05,2.18595557194351e-05
"DTE..49","TWFE.ever.adopted",0.95,6.43850766609686e-05,2.18595557194351e-05
"DTE..5","group.time.ATT",0.999,-2.44237895345716e-05,5.36461645914238e-06
"DTE..5","group.time.ATT.ever.adopted",0.989,-7.14103141403767e-05,1.07443319218433e-05
"DTE..5","TWFE",0.958,4.2139490585474e-05,2.20994746485534e-05
"DTE..5","TWFE.ever.adopted",0.958,4.2139490585474e-05,2.20994746485534e-05
"DTE..50","group.time.ATT",0.996,-5.36229863846324e-05,7.62966941178982e-06
"DTE..50","group.time.ATT.ever.adopted",0.991,-6.91123637667454e-05,9.49927423670806e-06
"DTE..50","TWFE",0.96,3.43820538191617e-08,2.10747325244961e-05
"DTE..50","TWFE.ever.adopted",0.96,3.43820538191617e-08,2.10747325244961e-05
"DTE..51","group.time.ATT",0.998,7.07230995950849e-05,1.14114374913873e-05
"DTE..51","group.time.ATT.ever.adopted",0.993,-7.62567036941203e-06,1.75809238534914e-05
"DTE..51","TWFE",0.952,0.000133863556625533,1.77611075090301e-05
"DTE..51","TWFE.ever.adopted",0.952,0.000133863556625533,1.77611075090301e-05
"DTE..52","group.time.ATT",0.997,0.000123990246065089,1.0929922647858e-05
"DTE..52","group.time.ATT.ever.adopted",0.992,0.00014119914388769,1.71127853367345e-05
"DTE..52","TWFE",0.941,0.000130912191145426,2.51664293899723e-05
"DTE..52","TWFE.ever.adopted",0.941,0.000130912191145426,2.51664293899723e-05
"DTE..53","group.time.ATT",0.997,-0.000196874222242557,1.09393404695725e-05
"DTE..53","group.time.ATT.ever.adopted",0.996,-0.000302316649986611,1.62079975135361e-05
"DTE..53","TWFE",0.965,-5.10690643439371e-05,2.22658789263663e-05
"DTE..53","TWFE.ever.adopted",0.965,-5.10690643439371e-05,2.22658789263663e-05
"DTE..54","group.time.ATT",0.993,6.07995437206971e-05,1.19104635565714e-05
"DTE..54","group.time.ATT.ever.adopted",0.99,0.000209105092671032,1.76138333984804e-05
"DTE..54","TWFE",0.956,0.00018996340571106,2.529818877943e-05
"DTE..54","TWFE.ever.adopted",0.956,0.00018996340571106,2.529818877943e-05
"DTE..55","group.time.ATT",0.998,0.000109033760736502,1.16695194213399e-05
"DTE..55","group.time.ATT.ever.adopted",0.989,-6.41473960200596e-05,1.81755329614611e-05
"DTE..55","TWFE",0.945,0.000138535939139662,2.44660282589352e-05
"DTE..55","TWFE.ever.adopted",0.945,0.000138535939139662,2.44660282589352e-05
"DTE..56","group.time.ATT",0.996,-0.000195002730910131,1.16157096731315e-05
"DTE..56","group.time.ATT.ever.adopted",0.989,8.44683501882123e-05,1.72030419110563e-05
"DTE..56","TWFE",0.956,1.75197229997579e-05,2.27894053751773e-05
"DTE..56","TWFE.ever.adopted",0.956,1.75197229997579e-05,2.27894053751773e-05
"DTE..57","group.time.ATT",0.993,0.000221893626836407,1.1962191800675e-05
"DTE..57","group.time.ATT.ever.adopted",0.996,8.79114870385728e-05,1.79450833069022e-05
"DTE..57","TWFE",0.953,1.37440100622142e-05,2.31877200220786e-05
"DTE..57","TWFE.ever.adopted",0.953,1.37440100622142e-05,2.31877200220786e-05
"DTE..58","group.time.ATT",0.991,-0.000104694586215094,1.19697005746833e-05
"DTE..58","group.time.ATT.ever.adopted",0.992,-6.66145044521469e-05,1.67820421635879e-05
"DTE..58","TWFE",0.957,-9.02344746025345e-05,2.43555380596487e-05
"DTE..58","TWFE.ever.adopted",0.957,-9.02344746025345e-05,2.43555380596487e-05
"DTE..59","group.time.ATT",0.996,1.76291310844633e-05,1.20149458352413e-05
"DTE..59","group.time.ATT.ever.adopted",0.989,-8.46775345052926e-05,1.79054814887311e-05
"DTE..59","TWFE",0.949,1.57035403270004e-06,2.60760138048124e-05
