MRSTATEPSTL,DOB_MM,ptb_prop,ptb_prop2,n,year,state_name,Census_Region,MRSTATE,month_index
NY,12,0.07337734416077583,7.34,17117,2011,New York,Northeast,NA,12
OH,1,0.08025417745351847,8.03,8498,2011,Ohio,Midwest,NA,1
OH,2,0.07714831317632082,7.71,7855,2011,Ohio,Midwest,NA,2
OH,3,0.07605665216906435,7.61,8967,2011,Ohio,Midwest,NA,3
OH,4,0.08162344983089065,8.16,8870,2011,Ohio,Midwest,NA,4
OH,5,0.07925819626890385,7.93,9059,2011,Ohio,Midwest,NA,5
OH,6,0.0748635027299454,7.49,9524,2011,Ohio,Midwest,NA,6
OH,7,0.07586922677737416,7.59,9635,2011,Ohio,Midwest,NA,7
OH,8,0.0754228855721393,7.54,10050,2011,Ohio,Midwest,NA,8
OH,9,0.0724487683709377,7.24,9662,2011,Ohio,Midwest,NA,9
OH,10,0.07830723092302566,7.83,9003,2011,Ohio,Midwest,NA,10
OH,11,0.0724936912135811,7.25,8718,2011,Ohio,Midwest,NA,11
OH,12,0.07545271629778671,7.55,8946,2011,Ohio,Midwest,NA,12
OK,1,0.09473684210526316,9.47,3515,2011,Oklahoma,South,NA,1
OK,2,0.07807153965785381,7.81,3215,2011,Oklahoma,South,NA,2
OK,3,0.09140667761357417,9.14,3654,2011,Oklahoma,South,NA,3
OK,4,0.09064665127020785,9.06,3464,2011,Oklahoma,South,NA,4
OK,5,0.08917197452229299,8.92,3454,2011,Oklahoma,South,NA,5
OK,6,0.09257236482796286,9.26,3662,2011,Oklahoma,South,NA,6
OK,7,0.08228180862250263,8.23,3804,2011,Oklahoma,South,NA,7
OK,8,0.07799171338045333,7.8,4103,2011,Oklahoma,South,NA,8
OK,9,0.08220230473751601,8.22,3905,2011,Oklahoma,South,NA,9
OK,10,0.07769208797486432,7.77,3501,2011,Oklahoma,South,NA,10
OK,11,0.07860860038345659,7.86,3651,2011,Oklahoma,South,NA,11
OK,12,0.08184855233853007,8.18,3592,2011,Oklahoma,South,NA,12
OR,1,0.0694579681921454,6.95,3081,2011,Oregon,West,NA,1
OR,2,0.05224913494809689,5.22,2890,2011,Oregon,West,NA,2
OR,3,0.05977146205684149,5.98,3413,2011,Oregon,West,NA,3
OR,4,0.05447352404138771,5.45,3286,2011,Oregon,West,NA,4
OR,5,0.05051078320090806,5.05,3524,2011,Oregon,West,NA,5
OR,6,0.045689655172413794,4.57,3480,2011,Oregon,West,NA,6
OR,7,0.057983433304770064,5.8,3501,2011,Oregon,West,NA,7
OR,8,0.044981726173741916,4.5,3557,2011,Oregon,West,NA,8
OR,9,0.058080048149262715,5.81,3323,2011,Oregon,West,NA,9
OR,10,0.048516687268232384,4.85,3236,2011,Oregon,West,NA,10
OR,11,0.0584436551501453,5.84,3097,2011,Oregon,West,NA,11
OR,12,0.060133630289532294,6.01,3143,2011,Oregon,West,NA,12
PA,1,0.07886363636363636,7.89,8800,2011,Pennsylvania,Northeast,NA,1
PA,2,0.06842169113186947,6.84,8243,2011,Pennsylvania,Northeast,NA,2
PA,3,0.07412648307390879,7.41,9187,2011,Pennsylvania,Northeast,NA,3
PA,4,0.06945531819706968,6.95,8941,2011,Pennsylvania,Northeast,NA,4
PA,5,0.06873446449800065,6.87,9253,2011,Pennsylvania,Northeast,NA,5
PA,6,0.07008564863171088,7.01,9574,2011,Pennsylvania,Northeast,NA,6
PA,7,0.06599249374478733,6.6,9592,2011,Pennsylvania,Northeast,NA,7
PA,8,0.0668920303216554,6.69,9762,2011,Pennsylvania,Northeast,NA,8
PA,9,0.06459152236268989,6.46,9413,2011,Pennsylvania,Northeast,NA,9
PA,10,0.06469248291571754,6.47,8780,2011,Pennsylvania,Northeast,NA,10
PA,11,0.06508089833373581,6.51,8282,2011,Pennsylvania,Northeast,NA,11
PA,12,0.0689342990170719,6.89,7732,2011,Pennsylvania,Northeast,NA,12
SC,1,0.09093257556187032,9.09,3871,2011,South Carolina,South,NA,1
SC,2,0.08706677937447169,8.71,3549,2011,South Carolina,South,NA,2
SC,3,0.089,8.9,4000,2011,South Carolina,South,NA,3
SC,4,0.09180868609125893,9.18,3638,2011,South Carolina,South,NA,4
SC,5,0.09642761214074672,9.64,3723,2011,South Carolina,South,NA,5
SC,6,0.09442917811641269,9.44,4003,2011,South Carolina,South,NA,6
SC,7,0.10833539450902795,10.83,4043,2011,South Carolina,South,NA,7
SC,8,0.08694659972615244,8.69,4382,2011,South Carolina,South,NA,8
SC,9,0.09507722007722008,9.51,4144,2011,South Carolina,South,NA,9
SC,10,0.08984771573604061,8.98,3940,2011,South Carolina,South,NA,10
SC,11,0.09334334334334335,9.33,3996,2011,South Carolina,South,NA,11
SC,12,0.09222248976643391,9.22,4153,2011,South Carolina,South,NA,12
SD,1,0.07105263157894737,7.11,760,2011,South Dakota,Midwest,NA,1
SD,2,0.05583756345177665,5.58,788,2011,South Dakota,Midwest,NA,2
SD,3,0.05680473372781065,5.68,845,2011,South Dakota,Midwest,NA,3
SD,4,0.07032181168057211,7.03,839,2011,South Dakota,Midwest,NA,4
SD,5,0.05963302752293578,5.96,872,2011,South Dakota,Midwest,NA,5
SD,6,0.05951115834218916,5.95,941,2011,South Dakota,Midwest,NA,6
SD,7,0.05828571428571429,5.83,875,2011,South Dakota,Midwest,NA,7
SD,8,0.06761177753544166,6.76,917,2011,South Dakota,Midwest,NA,8
SD,9,0.05537098560354374,5.54,903,2011,South Dakota,Midwest,NA,9
SD,10,0.05767012687427912,5.77,867,2011,South Dakota,Midwest,NA,10
SD,11,0.05773955773955774,5.77,814,2011,South Dakota,Midwest,NA,11
SD,12,0.051094890510948905,5.11,822,2011,South Dakota,Midwest,NA,12
TN,1,0.09972022382094324,9.97,5004,2011,Tennessee,South,NA,1
TN,2,0.09251758686847154,9.25,4691,2011,Tennessee,South,NA,2
TN,3,0.09074626865671642,9.07,5025,2011,Tennessee,South,NA,3
TN,4,0.08871493803000652,8.87,4599,2011,Tennessee,South,NA,4
TN,5,0.08842573856738163,8.84,4942,2011,Tennessee,South,NA,5
TN,6,0.09348718951691766,9.35,5113,2011,Tennessee,South,NA,6
TN,7,0.08537268821221745,8.54,5353,2011,Tennessee,South,NA,7
TN,8,0.08342151675485009,8.34,5670,2011,Tennessee,South,NA,8
TN,9,0.08714075165806927,8.71,5428,2011,Tennessee,South,NA,9
TN,10,0.08828186856690419,8.83,5052,2011,Tennessee,South,NA,10
TN,11,0.09045323047251688,9.05,5185,2011,Tennessee,South,NA,11
TN,12,0.0826303680981595,8.26,5216,2011,Tennessee,South,NA,12
TX,1,0.09013492590134926,9.01,27126,2011,Texas,South,NA,1
TX,2,0.08672032193158953,8.67,24850,2011,Texas,South,NA,2
TX,3,0.08833015686849435,8.83,27284,2011,Texas,South,NA,3
TX,4,0.0910305268534161,9.1,25453,2011,Texas,South,NA,4
TX,5,0.0920006003301816,9.2,26652,2011,Texas,South,NA,5
TX,6,0.0894294141208171,8.94,27463,2011,Texas,South,NA,6
TX,7,0.08906584347704073,8.91,28507,2011,Texas,South,NA,7
TX,8,0.08373182394847273,8.37,30741,2011,Texas,South,NA,8
TX,9,0.07853668423186055,7.85,29604,2011,Texas,South,NA,9
TX,10,0.08652340970542194,8.65,28108,2011,Texas,South,NA,10
TX,11,0.08427451262499101,8.43,27802,2011,Texas,South,NA,11
TX,12,0.08567425569176883,8.57,28550,2011,Texas,South,NA,12
UT,1,0.07724676886083559,7.72,3327,2011,Utah,West,NA,1
UT,2,0.07746478873239436,7.75,3266,2011,Utah,West,NA,2
UT,3,0.08027282266526757,8.03,3812,2011,Utah,West,NA,3
UT,4,0.0688836104513064,6.89,3789,2011,Utah,West,NA,4
UT,5,0.07217546544248916,7.22,3921,2011,Utah,West,NA,5
UT,6,0.06824477461596574,6.82,3971,2011,Utah,West,NA,6
UT,7,0.06907059421025902,6.91,3938,2011,Utah,West,NA,7
UT,8,0.06524375454765947,6.52,4123,2011,Utah,West,NA,8
UT,9,0.06290849673202614,6.29,3672,2011,Utah,West,NA,9
UT,10,0.07380281690140846,7.38,3550,2011,Utah,West,NA,10
UT,11,0.072992700729927,7.3,3288,2011,Utah,West,NA,11
UT,12,0.07430150445194965,7.43,3257,2011,Utah,West,NA,12
VT,1,0.04076086956521739,4.08,368,2011,Vermont,Northeast,NA,1
VT,2,0.05507246376811594,5.51,345,2011,Vermont,Northeast,NA,2
VT,3,0.0661764705882353,6.62,408,2011,Vermont,Northeast,NA,3
VT,4,0.055232558139534885,5.52,344,2011,Vermont,Northeast,NA,4
VT,5,0.0488997555012225,4.89,409,2011,Vermont,Northeast,NA,5
VT,6,0.03686635944700461,3.69,434,2011,Vermont,Northeast,NA,6
VT,7,0.045351473922902494,4.54,441,2011,Vermont,Northeast,NA,7
VT,8,0.06292134831460675,6.29,445,2011,Vermont,Northeast,NA,8
VT,9,0.0539906103286385,5.4,426,2011,Vermont,Northeast,NA,9
VT,10,0.045,4.5,400,2011,Vermont,Northeast,NA,10
VT,11,0.06264501160092807,6.26,431,2011,Vermont,Northeast,NA,11
VT,12,0.07262569832402235,7.26,358,2011,Vermont,Northeast,NA,12
WA,1,0.06558900037160907,6.56,5382,2011,Washington,West,NA,1
WA,2,0.06673170731707317,6.67,5125,2011,Washington,West,NA,2
WA,3,0.06537043245055313,6.54,5966,2011,Washington,West,NA,3
WA,4,0.06349206349206349,6.35,5859,2011,Washington,West,NA,4
WA,5,0.05492888670917116,5.49,6117,2011,Washington,West,NA,5
WA,6,0.056059624108878804,5.61,6172,2011,Washington,West,NA,6
WA,7,0.05795019157088123,5.8,6264,2011,Washington,West,NA,7
WA,8,0.053683879093198994,5.37,6352,2011,Washington,West,NA,8
WA,9,0.060284267276588796,6.03,6121,2011,Washington,West,NA,9
WA,10,0.061771358969897334,6.18,5747,2011,Washington,West,NA,10
WA,11,0.06062846580406654,6.06,5410,2011,Washington,West,NA,11
WA,12,0.05783839779005525,5.78,5792,2011,Washington,West,NA,12
WI,1,0.07432931331528428,7.43,4063,2011,Wisconsin,Midwest,NA,1
WI,2,0.06852085967130214,6.85,3955,2011,Wisconsin,Midwest,NA,2
WI,3,0.06699310037836635,6.7,4493,2011,Wisconsin,Midwest,NA,3
WI,4,0.06963916341071018,6.96,4351,2011,Wisconsin,Midwest,NA,4
WI,5,0.06748598533850798,6.75,4638,2011,Wisconsin,Midwest,NA,5
WI,6,0.06714579055441479,6.71,4870,2011,Wisconsin,Midwest,NA,6
WI,7,0.06524390243902439,6.52,4920,2011,Wisconsin,Midwest,NA,7
WI,8,0.06531027466937946,6.53,4915,2011,Wisconsin,Midwest,NA,8
WI,9,0.06720765709529755,6.72,4806,2011,Wisconsin,Midwest,NA,9
WI,10,0.07096774193548387,7.1,4495,2011,Wisconsin,Midwest,NA,10
WI,11,0.07407407407407407,7.41,4455,2011,Wisconsin,Midwest,NA,11
WI,12,0.06820809248554913,6.82,4325,2011,Wisconsin,Midwest,NA,12
WY,1,0.08823529411764706,8.82,476,2011,Wyoming,West,NA,1
WY,2,0.07517084282460136,7.52,439,2011,Wyoming,West,NA,2
WY,3,0.0718132854578097,7.18,557,2011,Wyoming,West,NA,3
WY,4,0.06666666666666667,6.67,480,2011,Wyoming,West,NA,4
WY,5,0.054307116104868915,5.43,534,2011,Wyoming,West,NA,5
WY,6,0.0660377358490566,6.6,530,2011,Wyoming,West,NA,6
WY,7,0.06420233463035019,6.42,514,2011,Wyoming,West,NA,7
WY,8,0.05343511450381679,5.34,524,2011,Wyoming,West,NA,8
WY,9,0.05182341650671785,5.18,521,2011,Wyoming,West,NA,9
WY,10,0.03765690376569038,3.77,478,2011,Wyoming,West,NA,10
WY,11,0.0498960498960499,4.99,481,2011,Wyoming,West,NA,11
WY,12,0.07172995780590717,7.17,474,2011,Wyoming,West,NA,12
CA,1,0.07069366080318619,7.07,33143,2012,California,West,NA,13
CA,2,0.06676887456587716,6.68,31961,2012,California,West,NA,14
CA,3,0.06533769883811896,6.53,34513,2012,California,West,NA,15
CA,4,0.06622475336881088,6.62,32133,2012,California,West,NA,16
CA,5,0.06551182933209324,6.55,34406,2012,California,West,NA,17
CA,6,0.06734603455914931,6.73,33855,2012,California,West,NA,18
CA,7,0.07045297132566837,7.05,36095,2012,California,West,NA,19
CA,8,0.06707983959168794,6.71,38402,2012,California,West,NA,20
CA,9,0.0629817634893777,6.3,37233,2012,California,West,NA,21
CA,10,0.06279307928636878,6.28,37106,2012,California,West,NA,22
CA,11,0.06639477511907138,6.64,35063,2012,California,West,NA,23
CA,12,0.06699903787282428,6.7,34299,2012,California,West,NA,24
