"parameter","method","coverage","bias","MSE","power"
"DTE..39","TWFE.ever.adopted",0.952,7.84435025964025e-05,1.72729287858056e-05,0.023
"DTE..4","group.time.ATT",0.997,-2.54918779546204e-05,5.8367288681622e-06,0.001
"DTE..4","group.time.ATT.ever.adopted",0.995,0.00012008222581839,9.30305957577332e-06,0.002
"DTE..4","stacked.regression",0.948,-3.2707392660386e-06,5.65353072706524e-06,0.024
"DTE..4","TWFE",0.942,4.89934660906442e-05,1.00016265026972e-05,0.029
"DTE..4","TWFE.ever.adopted",0.956,5.88626690672693e-05,1.56477158085757e-05,0.022
"DTE..40","group.time.ATT",0.996,0.000112784767528091,6.6684403495745e-06,0.001
"DTE..40","group.time.ATT.ever.adopted",0.99,-5.40660022045502e-06,1.14296783620291e-05,0.004
"DTE..40","stacked.regression",0.955,0.000125114065497607,6.34684131030418e-06,0.02
"DTE..40","TWFE",0.948,0.000119064898738302,1.00254546794988e-05,0.026
"DTE..40","TWFE.ever.adopted",0.957,5.07464143531003e-05,1.59323534607564e-05,0.02
"DTE..41","group.time.ATT",0.999,4.29398703347163e-05,6.55489590086449e-06,0.001
"DTE..41","group.time.ATT.ever.adopted",0.989,8.13874781415606e-05,1.06063648438257e-05,0.007
"DTE..41","stacked.regression",0.948,1.23292979695163e-05,6.31001964047716e-06,0.027
"DTE..41","TWFE",0.953,4.88227982673722e-05,9.91437389617883e-06,0.018
"DTE..41","TWFE.ever.adopted",0.955,-2.47050381337019e-06,1.60504693566042e-05,0.027
"DTE..42","group.time.ATT",0.995,2.78516783651238e-05,6.49625385244296e-06,0
"DTE..42","group.time.ATT.ever.adopted",0.994,9.86581194977274e-06,1.0090186250414e-05,0.002
"DTE..42","stacked.regression",0.941,-3.06105723651999e-05,6.38703450149059e-06,0.025
"DTE..42","TWFE",0.948,-2.67703380539594e-05,1.03168854527635e-05,0.028
"DTE..42","TWFE.ever.adopted",0.949,-0.000120135619889636,1.57396813901593e-05,0.024
"DTE..43","group.time.ATT",0.998,-1.0322622532816e-05,5.99329583136715e-06,0.002
