"parameter","method","coverage","bias","MSE"
"DTE..40","group.time.ATT.ever.adopted",0.9,-0.000192068556673978,1.57114588121721e-05
"DTE..40","TWFE",0.9,-0.00196057666683982,3.04117299511079e-05
"DTE..40","TWFE.ever.adopted",0.9,-0.00196057666683982,3.04117299511079e-05
"DTE..41","group.time.ATT",1,-5.16803183652345e-05,1.37079770263136e-05
"DTE..41","group.time.ATT.ever.adopted",0.9,0.00117054045892652,2.11085753798919e-05
"DTE..41","TWFE",0.9,-0.00139250963037606,3.26584647834694e-05
"DTE..41","TWFE.ever.adopted",0.9,-0.00139250963037606,3.26584647834694e-05
"DTE..42","group.time.ATT",1,0.000966295425108823,9.59820739984867e-06
"DTE..42","group.time.ATT.ever.adopted",0.9,-0.0012885530159283,1.40298363837635e-05
"DTE..42","TWFE",0.9,-0.00179724967906548,2.87711819701915e-05
"DTE..42","TWFE.ever.adopted",0.9,-0.00179724967906548,2.87711819701915e-05
"DTE..43","group.time.ATT",1,-0.000274822825514177,6.69803249296335e-06
"DTE..43","group.time.ATT.ever.adopted",1,0.000691456083931037,9.68139065362942e-06
"DTE..43","TWFE",1,-0.00132321910772946,1.9731704796077e-05
"DTE..43","TWFE.ever.adopted",1,-0.00132321910772946,1.9731704796077e-05
"DTE..44","group.time.ATT",1,0.000728458201722704,9.99904340137634e-06
"DTE..44","group.time.ATT.ever.adopted",0.9,1.13437280205421e-05,1.78391644383073e-05
"DTE..44","TWFE",0.8,-0.00112742597366561,2.63054873190245e-05
"DTE..44","TWFE.ever.adopted",0.8,-0.00112742597366561,2.63054873190245e-05
"DTE..45","group.time.ATT",1,-0.000338787279201508,1.09431479619912e-05
"DTE..45","group.time.ATT.ever.adopted",1,-0.000416104777161426,1.01995525554266e-05
"DTE..45","TWFE",0.8,-0.00240789411155495,3.89137354129319e-05
"DTE..45","TWFE.ever.adopted",0.8,-0.00240789411155495,3.89137354129319e-05
"DTE..46","group.time.ATT",1,-0.000873979565199037,7.35623539304583e-06
"DTE..46","group.time.ATT.ever.adopted",1,-0.00101455394345457,1.24099779779025e-05
"DTE..46","TWFE",1,-0.00239218663556565,1.96640169492102e-05
"DTE..46","TWFE.ever.adopted",1,-0.00239218663556565,1.96640169492102e-05
"DTE..47","group.time.ATT",1,-0.000155347407007369,6.13293811641741e-06
"DTE..47","group.time.ATT.ever.adopted",1,0.000952539929702332,8.88076810784747e-06
"DTE..47","TWFE",0.9,-0.00153341985573213,2.70834407602421e-05
"DTE..47","TWFE.ever.adopted",0.9,-0.00153341985573213,2.70834407602421e-05
"DTE..48","group.time.ATT",1,0.00150433581609894,9.43123407687925e-06
"DTE..48","group.time.ATT.ever.adopted",1,0.0015417719751744,7.64540135908156e-06
"DTE..48","TWFE",0.8,-0.00141056574206428,3.0356109979274e-05
"DTE..48","TWFE.ever.adopted",0.8,-0.00141056574206428,3.0356109979274e-05
"DTE..49","group.time.ATT",1,-0.00143271558829541,1.02041894776078e-05
"DTE..49","group.time.ATT.ever.adopted",0.9,-0.00110517859635806,8.95756549224176e-06
"DTE..49","TWFE",0.9,-0.00208820948412283,2.03906692536859e-05
"DTE..49","TWFE.ever.adopted",0.9,-0.00208820948412283,2.03906692536859e-05
"DTE..5","group.time.ATT",1,0.000341713550868723,7.11670211055014e-06
"DTE..5","group.time.ATT.ever.adopted",0.9,0.000476253225751922,1.31616792198117e-05
"DTE..5","TWFE",1,-0.00118574193801122,1.71876157254033e-05
"DTE..5","TWFE.ever.adopted",1,-0.00118574193801122,1.71876157254033e-05
"DTE..50","group.time.ATT",1,-0.00116205183151509,6.58423099505291e-06
"DTE..50","group.time.ATT.ever.adopted",1,-0.0015054898080333,9.9010796813314e-06
"DTE..50","TWFE",0.9,-0.00111335355711845,2.91338235933817e-05
"DTE..50","TWFE.ever.adopted",0.9,-0.00111335355711845,2.91338235933817e-05
"DTE..51","group.time.ATT",1,0.00123827313682347,2.06506817458897e-05
"DTE..51","group.time.ATT.ever.adopted",0.9,0.00176017622983949,2.89988325185247e-05
"DTE..51","TWFE",1,0.000191816564239279,1.25016058458792e-05
"DTE..51","TWFE.ever.adopted",1,0.000191816564239279,1.25016058458792e-05
"DTE..52","group.time.ATT",1,0.00240598060263074,2.03143964429375e-05
"DTE..52","group.time.ATT.ever.adopted",1,0.000704112867729226,2.5028222029556e-05
"DTE..52","TWFE",0.9,-0.000693536046511011,2.56975906401484e-05
"DTE..52","TWFE.ever.adopted",0.9,-0.000693536046511011,2.56975906401484e-05
"DTE..53","group.time.ATT",1,-0.0006154677133233,1.42114865090263e-05
"DTE..53","group.time.ATT.ever.adopted",1,0.000110468948061109,2.2781510853827e-05
"DTE..53","TWFE",1,-0.00246804392769825,2.7478648575022e-05
"DTE..53","TWFE.ever.adopted",1,-0.00246804392769825,2.7478648575022e-05
"DTE..54","group.time.ATT",1,-0.0013016928890392,1.25350298746957e-05
"DTE..54","group.time.ATT.ever.adopted",1,-0.00154896163383774,2.9089504238451e-05
"DTE..54","TWFE",0.9,-0.00228491090196641,3.79590981795629e-05
"DTE..54","TWFE.ever.adopted",0.9,-0.00228491090196641,3.79590981795629e-05
"DTE..55","group.time.ATT",1,0.00173064924905122,8.92640369349924e-06
"DTE..55","group.time.ATT.ever.adopted",1,0.000882448660081201,1.35056268507667e-05
"DTE..55","TWFE",1,-0.00136368953874863,1.84585750979706e-05
"DTE..55","TWFE.ever.adopted",1,-0.00136368953874863,1.84585750979706e-05
"DTE..56","group.time.ATT",1,-0.00271683409402409,1.95808355600472e-05
"DTE..56","group.time.ATT.ever.adopted",1,-0.00184694444578427,2.53153293456546e-05
"DTE..56","TWFE",1,-0.00145284173744053,1.28666319687988e-05
"DTE..56","TWFE.ever.adopted",1,-0.00145284173744053,1.28666319687988e-05
"DTE..57","group.time.ATT",1,0.00120530846916842,8.94653648592058e-06
"DTE..57","group.time.ATT.ever.adopted",1,0.00110997005711183,1.62765339058115e-05
"DTE..57","TWFE",0.9,0.000602959341743209,2.90675850278979e-05
"DTE..57","TWFE.ever.adopted",0.9,0.000602959341743209,2.90675850278979e-05
"DTE..58","group.time.ATT",1,-0.000195974343688727,1.36073222532205e-05
"DTE..58","group.time.ATT.ever.adopted",1,0.00147382655897067,2.4707613567005e-05
"DTE..58","TWFE",0.9,-0.00198114220594152,3.38303832477062e-05
"DTE..58","TWFE.ever.adopted",0.9,-0.00198114220594152,3.38303832477062e-05
"DTE..59","group.time.ATT",1,-0.000188992722673908,4.10570047163628e-06
"DTE..59","group.time.ATT.ever.adopted",1,-0.00153214814844513,1.50028594289345e-05
"DTE..59","TWFE",1,-0.00247777435010726,2.52663150734981e-05
"DTE..59","TWFE.ever.adopted",1,-0.00247777435010726,2.52663150734981e-05
"DTE..6","group.time.ATT",1,-0.000354407958634038,1.10591894262877e-05
"DTE..6","group.time.ATT.ever.adopted",0.9,-0.00063230622207472,2.41935646576273e-05
"DTE..6","TWFE",1,-0.00138942420641756,1.82702350645587e-05
"DTE..6","TWFE.ever.adopted",1,-0.00138942420641756,1.82702350645587e-05
"DTE..60","group.time.ATT",1,0.00164724355966581,5.91976250300403e-06
"DTE..60","group.time.ATT.ever.adopted",1,0.00188638228191671,8.6563112082425e-06
"DTE..60","TWFE",1,-0.00182519052264633,2.42048011577761e-05
"DTE..60","TWFE.ever.adopted",1,-0.00182519052264633,2.42048011577761e-05
"DTE..61","group.time.ATT",1,-4.95158015291772e-05,1.15492036617207e-05
"DTE..61","group.time.ATT.ever.adopted",1,-0.00244701256687255,2.43268389312099e-05
"DTE..61","TWFE",0.9,-0.00193166708404174,3.54462086553689e-05
"DTE..61","TWFE.ever.adopted",0.9,-0.00193166708404174,3.54462086553689e-05
"DTE..62","group.time.ATT",1,-0.000591876722579777,1.51081988463673e-05
"DTE..62","group.time.ATT.ever.adopted",1,0.000544698653922921,1.46003649912961e-05
"DTE..62","TWFE",1,-0.00131017861183028,4.51878801196923e-05
"DTE..62","TWFE.ever.adopted",1,-0.00131017861183028,4.51878801196923e-05
"DTE..63","group.time.ATT",1,-0.000161843863268453,1.13695146304155e-05
"DTE..63","group.time.ATT.ever.adopted",1,0.000546953347603909,1.85750938857974e-05
"DTE..63","TWFE",0.9,-0.00122908043923327,3.27380594872554e-05
"DTE..63","TWFE.ever.adopted",0.9,-0.00122908043923327,3.27380594872554e-05
"DTE..64","group.time.ATT",0.8,-0.00109684686803583,9.80496005453091e-05
"DTE..64","TWFE",1,-0.000293558901414326,1.69582095686508e-05
"DTE..64","TWFE.ever.adopted",1,-0.000293558901414326,1.69582095686508e-05
"DTE..65","group.time.ATT",1,-0.000676731878524046,6.03686545255981e-05
"DTE..65","TWFE",1,-0.00163151461440808,2.5295839886865e-05
"DTE..65","TWFE.ever.adopted",1,-0.00163151461440808,2.5295839886865e-05
"DTE..66","group.time.ATT",1,0.00350218911878681,2.18749146567852e-05
"DTE..66","TWFE",0.9,-0.00208478687031215,4.3506856988465e-05
"DTE..66","TWFE.ever.adopted",0.9,-0.00208478687031215,4.3506856988465e-05
"DTE..67","group.time.ATT",1,-0.00212859519149639,2.06028917281258e-05
"DTE..67","TWFE",0.8,-0.00522840873305214,6.76041176408334e-05
"DTE..67","TWFE.ever.adopted",0.8,-0.00522840873305214,6.76041176408334e-05
"DTE..68","group.time.ATT",1,0.00248235412803983,2.03792010129987e-05
"DTE..68","TWFE",0.8,-0.000774419277092802,6.23515726717437e-05
"DTE..68","TWFE.ever.adopted",0.8,-0.000774419277092802,6.23515726717437e-05
"DTE..69","group.time.ATT",1,-0.00262930646506398,5.17491719029552e-05
"DTE..69","TWFE",1,-0.00240983443948609,4.16279834087968e-05
"DTE..69","TWFE.ever.adopted",1,-0.00240983443948609,4.16279834087968e-05
"DTE..7","group.time.ATT",1,0.00101247136065021,1.13380648037059e-05
"DTE..7","group.time.ATT.ever.adopted",1,0.00149834339537568,1.27288712262553e-05
"DTE..7","TWFE",1,-0.00100460664221127,1.25111727445802e-05
"DTE..7","TWFE.ever.adopted",1,-0.00100460664221127,1.25111727445802e-05
"DTE..70","group.time.ATT",1,0.000188855564312495,3.22796861474899e-05
"DTE..70","TWFE",0.9,-0.00114923691055316,4.41914831830526e-05
"DTE..70","TWFE.ever.adopted",0.9,-0.00114923691055316,4.41914831830526e-05
"DTE..8","group.time.ATT",1,-0.000894721979939238,7.58049116308289e-06
"DTE..8","group.time.ATT.ever.adopted",1,-0.00270469060555336,1.19688011895921e-05
"DTE..8","TWFE",0.9,-0.00191626720846737,1.66399054043126e-05
"DTE..8","TWFE.ever.adopted",0.9,-0.00191626720846737,1.66399054043126e-05
"DTE..9","group.time.ATT",1,-0.000151844946624532,4.3301688692867e-06
"DTE..9","group.time.ATT.ever.adopted",1,0.00156427295906484,1.47566891893947e-05
"DTE..9","TWFE",1,-0.000625535952697864,1.5838294394498e-05
"DTE..9","TWFE.ever.adopted",1,-0.000625535952697864,1.5838294394498e-05
"DTE.0","group.time.ATT",0.9,0.000108202933933528,8.74297115078609e-06
"DTE.0","group.time.ATT.ever.adopted",1,0.000176571889299056,6.13132817915758e-06
"DTE.0","TWFE",1,-0.000519629606074002,1.65621052302661e-05
"DTE.0","TWFE.ever.adopted",1,-0.000519629606074002,1.65621052302661e-05
"DTE.1","group.time.ATT",1,0.000778032188388949,4.59651666880138e-06
"DTE.1","group.time.ATT.ever.adopted",1,0.000233335939712921,6.92237198348029e-06
"DTE.1","TWFE",1,-0.000592913457454456,1.81597946224849e-05
"DTE.1","TWFE.ever.adopted",1,-0.000592913457454456,1.81597946224849e-05
"DTE.10","group.time.ATT",1,-7.53781858342621e-06,1.24669782305055e-05
"DTE.10","group.time.ATT.ever.adopted",1,-0.000485263107092112,1.17788768149303e-05
"DTE.10","TWFE",1,-0.00261924907471612,2.40021405699457e-05
"DTE.10","TWFE.ever.adopted",1,-0.00261924907471612,2.40021405699457e-05
"DTE.11","group.time.ATT",1,0.00193037185849978,8.90779866573236e-06
"DTE.11","group.time.ATT.ever.adopted",1,0.00190458053559849,1.61729044634234e-05
"DTE.11","TWFE",1,8.97823355175658e-05,6.68476789279146e-06
"DTE.11","TWFE.ever.adopted",1,8.97823355175658e-05,6.68476789279146e-06
"DTE.12","group.time.ATT",1,0.00149704346666958,1.19180664442995e-05
"DTE.12","group.time.ATT.ever.adopted",0.9,0.00196407274225355,2.16115405411954e-05
"DTE.12","TWFE",1,1.1549593323708e-05,1.28508268088591e-05
"DTE.12","TWFE.ever.adopted",1,1.1549593323708e-05,1.28508268088591e-05
"DTE.13","group.time.ATT",1,0.000324370861266545,1.20011024092382e-05
"DTE.13","group.time.ATT.ever.adopted",1,0.00115563985712446,1.39556694475749e-05
"DTE.13","TWFE",1,-0.00107696260804202,1.2751534884001e-05
"DTE.13","TWFE.ever.adopted",1,-0.00107696260804202,1.2751534884001e-05
"DTE.14","group.time.ATT",1,0.000289084014343191,1.57500354415709e-05
"DTE.14","group.time.ATT.ever.adopted",0.9,0.00133886148813712,2.35329596990231e-05
"DTE.14","TWFE",0.9,-0.00143005376067772,2.38058096566163e-05
"DTE.14","TWFE.ever.adopted",0.9,-0.00143005376067772,2.38058096566163e-05
"DTE.15","group.time.ATT",1,0.00160371686271319,1.05030903170087e-05
"DTE.15","group.time.ATT.ever.adopted",1,0.0041287092305195,2.6346279890405e-05
"DTE.15","TWFE",1,0.00068024352069348,1.8851236878969e-05
"DTE.15","TWFE.ever.adopted",1,0.00068024352069348,1.8851236878969e-05
"DTE.16","group.time.ATT",1,0.00064683100651753,6.09398159912911e-06
"DTE.16","group.time.ATT.ever.adopted",1,0.002471509652595,1.5915640481402e-05
"DTE.16","TWFE",1,-0.000612033949237842,2.18134308312801e-05
"DTE.16","TWFE.ever.adopted",1,-0.000612033949237842,2.18134308312801e-05
"DTE.17","group.time.ATT",1,0.000679139523927323,8.78446060400098e-06
"DTE.17","group.time.ATT.ever.adopted",1,0.00266702790819066,1.98571013732377e-05
"DTE.17","TWFE",1,-0.000101167299218866,1.37807530096435e-05
"DTE.17","TWFE.ever.adopted",1,-0.000101167299218866,1.37807530096435e-05
"DTE.18","group.time.ATT",1,0.000330111144577997,1.20736931664929e-05
"DTE.18","group.time.ATT.ever.adopted",1,0.00263145297086033,1.81265923769048e-05
"DTE.18","TWFE",1,-0.00108169044504241,1.21093768443148e-05
"DTE.18","TWFE.ever.adopted",1,-0.00108169044504241,1.21093768443148e-05
"DTE.19","group.time.ATT",1,0.00107576953252655,8.77366938009521e-06
"DTE.19","group.time.ATT.ever.adopted",1,0.0024693668442712,1.903627343357e-05
"DTE.19","TWFE",1,-0.000295412228521643,1.54772620311519e-05
"DTE.19","TWFE.ever.adopted",1,-0.000295412228521643,1.54772620311519e-05
"DTE.2","group.time.ATT",1,0.000272496741951451,8.18992626842419e-06
"DTE.2","group.time.ATT.ever.adopted",1,0.000115573380019826,1.22512989669598e-05
"DTE.2","TWFE",1,-0.00094389117090804,1.08339745443051e-05
"DTE.2","TWFE.ever.adopted",1,-0.00094389117090804,1.08339745443051e-05
"DTE.20","group.time.ATT",1,0.00185080617990236,1.60342405248724e-05
"DTE.20","group.time.ATT.ever.adopted",1,0.00227759862999065,4.14615670253598e-05
"DTE.20","TWFE",1,-0.000307474504652774,1.39939760435521e-05
"DTE.20","TWFE.ever.adopted",1,-0.000307474504652774,1.39939760435521e-05
"DTE.21","group.time.ATT",1,0.00127858183076609,2.11625545735658e-05
"DTE.21","group.time.ATT.ever.adopted",1,0.00151529617470489,4.33013751380792e-05
"DTE.21","TWFE",0.9,-0.000343292691050547,2.58669686491962e-05
"DTE.21","TWFE.ever.adopted",0.9,-0.000343292691050547,2.58669686491962e-05
"DTE.22","group.time.ATT",1,0.0020270819567188,2.04648768669405e-05
"DTE.22","group.time.ATT.ever.adopted",1,0.00327306927601229,4.52223628541596e-05
"DTE.22","TWFE",1,0.00101844085626824,2.03018847256846e-05
"DTE.22","TWFE.ever.adopted",1,0.00101844085626824,2.03018847256846e-05
"DTE.23","group.time.ATT",1,0.000571176941721724,1.75115656640253e-05
"DTE.23","group.time.ATT.ever.adopted",1,6.90739218441368e-05,3.01446697070347e-05
"DTE.23","TWFE",1,-0.00180678421802755,2.39126475211407e-05
