"parameter","method","coverage","bias","MSE","power"
"DTE..4","group.time.ATT",0.999,-6.17016229565535e-05,5.64169900909913e-06,0
"DTE..4","group.time.ATT.ever.adopted",0.994,-0.000361778607552859,1.00876480036262e-05,0.004
"DTE..4","stacked.regression",0.951,-8.17310333564633e-05,6.10748516770657e-06,0.027
"DTE..4","TWFE",0.943,-9.50236297071312e-06,1.48428559845798e-05,0.029
"DTE..4","TWFE.ever.adopted",0.943,-9.50236297071312e-06,1.48428559845798e-05,0.029
"DTE..40","group.time.ATT",0.997,4.62633022275573e-05,6.75835217990377e-06,0.002
"DTE..40","group.time.ATT.ever.adopted",0.994,7.83601175251971e-05,1.06421636117487e-05,0.002
"DTE..40","stacked.regression",0.934,4.57918876121017e-05,7.10595275793859e-06,0.03
"DTE..40","TWFE",0.956,-4.67439038415291e-05,6.38616415994526e-05,0.027
"DTE..40","TWFE.ever.adopted",0.956,-4.67439038415291e-05,6.38616415994526e-05,0.027
"DTE..41","group.time.ATT",0.997,1.04431640100523e-05,7.15578678607017e-06,0.001
"DTE..41","group.time.ATT.ever.adopted",0.989,2.84122863858144e-05,1.04826108653608e-05,0.008
"DTE..41","stacked.regression",0.945,-4.71414615455686e-07,6.92048940581294e-06,0.024
"DTE..41","TWFE",0.954,0.00043957529497987,6.34277079796644e-05,0.023
"DTE..41","TWFE.ever.adopted",0.954,0.00043957529497987,6.34277079796644e-05,0.023
"DTE..42","group.time.ATT",0.995,-1.1544949570773e-06,7.01538814870207e-06,0.003
"DTE..42","group.time.ATT.ever.adopted",0.993,5.17674936620808e-06,1.10875387794595e-05,0.003
"DTE..42","stacked.regression",0.949,-1.09145786255078e-05,7.04360997299378e-06,0.027
"DTE..42","TWFE",0.946,0.000145415672943197,6.51422374116048e-05,0.029
"DTE..42","TWFE.ever.adopted",0.946,0.000145415672943197,6.51422374116048e-05,0.029
"DTE..43","group.time.ATT",1,-7.44189290492455e-05,6.9305902470529e-06,0
"DTE..43","group.time.ATT.ever.adopted",0.993,-1.58690115144852e-05,9.41887461008946e-06,0.002
"DTE..43","stacked.regression",0.943,-9.76008366843065e-06,6.8377299042569e-06,0.03
"DTE..43","TWFE",0.953,1.0156601171207e-05,6.61430316799465e-05,0.024
"DTE..43","TWFE.ever.adopted",0.953,1.0156601171207e-05,6.61430316799465e-05,0.024
"DTE..44","group.time.ATT",0.999,7.68235962525104e-05,1.07513393836404e-05,0.001
"DTE..44","group.time.ATT.ever.adopted",0.963,-2.79627855488431e-05,2.60701244392349e-05,0.019
"DTE..44","stacked.regression",0.946,6.46588453808149e-05,7.31036167315977e-06,0.028
"DTE..44","TWFE",0.956,0.000107230376565195,9.2556620192753e-06,0.017
"DTE..44","TWFE.ever.adopted",0.956,0.000107230376565195,9.2556620192753e-06,0.017
"DTE..45","group.time.ATT",0.997,8.71655793634473e-05,1.09348311078499e-05,0.003
"DTE..45","group.time.ATT.ever.adopted",0.983,-7.57078849372643e-05,2.54300431758816e-05,0.009
"DTE..45","stacked.regression",0.939,-3.44900220501375e-06,1.12565615583021e-05,0.027
"DTE..45","TWFE",0.945,-0.000293592551045127,7.45198342816e-05,0.031
"DTE..45","TWFE.ever.adopted",0.945,-0.000293592551045127,7.45198342816e-05,0.031
"DTE..46","group.time.ATT",0.998,-2.39562555500496e-05,1.11999007058009e-05,0.002
"DTE..46","group.time.ATT.ever.adopted",0.985,0.000134551848711643,2.34031836014972e-05,0.006
"DTE..46","stacked.regression",0.953,-9.06145815684611e-05,1.06356545865685e-05,0.028
"DTE..46","TWFE",0.946,-9.11690434174656e-05,7.32537277870199e-05,0.029
"DTE..46","TWFE.ever.adopted",0.946,-9.11690434174656e-05,7.32537277870199e-05,0.029
"DTE..47","group.time.ATT",0.999,-3.49074188648851e-05,1.04703821154847e-05,0.001
"DTE..47","group.time.ATT.ever.adopted",0.977,-0.000222300680466774,2.29253748461178e-05,0.016
"DTE..47","stacked.regression",0.953,-6.66583260184115e-05,1.02841850569543e-05,0.031
"DTE..47","TWFE",0.941,-4.42390868762596e-05,7.75612094260813e-05,0.033
"DTE..47","TWFE.ever.adopted",0.941,-4.42390868762596e-05,7.75612094260813e-05,0.033
"DTE..48","group.time.ATT",0.997,1.8166712335555e-05,1.06015078326247e-05,0.003
"DTE..48","group.time.ATT.ever.adopted",0.979,0.000249273669420237,2.35126182787413e-05,0.007
"DTE..48","stacked.regression",0.948,-3.17509071535263e-05,1.08095812895261e-05,0.029
"DTE..48","TWFE",0.953,-0.000114129280650816,6.93077760166393e-05,0.025
"DTE..48","TWFE.ever.adopted",0.953,-0.000114129280650816,6.93077760166393e-05,0.025
"DTE..49","group.time.ATT",0.997,3.89908806057359e-08,1.02254657237229e-05,0.002
"DTE..49","group.time.ATT.ever.adopted",0.973,-0.000250799698907371,2.33387088705758e-05,0.01
"DTE..49","stacked.regression",0.933,-4.99176194890811e-05,1.11996194328665e-05,0.034
"DTE..49","TWFE",0.956,0.000364070155410417,6.92423504781444e-05,0.022
"DTE..49","TWFE.ever.adopted",0.956,0.000364070155410417,6.92423504781444e-05,0.022
"DTE..5","group.time.ATT",0.996,2.08416849562884e-05,5.54189098424425e-06,0.004
"DTE..5","group.time.ATT.ever.adopted",0.998,0.000305152799650908,9.85484129468329e-06,0
"DTE..5","stacked.regression",0.944,-2.002941039991e-05,5.70725568577261e-06,0.031
"DTE..5","TWFE",0.95,-0.000112707012095539,4.65264065634787e-05,0.029
"DTE..5","TWFE.ever.adopted",0.95,-0.000112707012095539,4.65264065634787e-05,0.029
"DTE..50","group.time.ATT",0.999,-4.76208936300287e-06,1.05904446143913e-05,0
"DTE..50","group.time.ATT.ever.adopted",0.983,6.63486639236233e-05,2.28578246457128e-05,0.008
"DTE..50","stacked.regression",0.958,-4.99566103696867e-05,1.02297802446193e-05,0.018
"DTE..50","TWFE",0.954,0.000159808773709072,7.07310119742995e-05,0.025
"DTE..50","TWFE.ever.adopted",0.954,0.000159808773709072,7.07310119742995e-05,0.025
"DTE..51","group.time.ATT",0.993,-1.30422705829374e-05,1.09318251985718e-05,0.004
"DTE..51","group.time.ATT.ever.adopted",0.981,5.31496556750146e-05,2.44619073897496e-05,0.008
"DTE..51","stacked.regression",0.943,-4.51945210066839e-05,1.16129005634457e-05,0.026
"DTE..51","TWFE",0.948,-2.67158881993951e-05,7.27564309237014e-05,0.026
"DTE..51","TWFE.ever.adopted",0.948,-2.67158881993951e-05,7.27564309237014e-05,0.026
"DTE..52","group.time.ATT",0.997,-2.93635105109207e-05,1.9184819058239e-05,0.001
"DTE..52","stacked.regression",0.954,-3.21522504237466e-05,1.06656459642097e-05,0.027
"DTE..52","TWFE",0.951,8.8204245672667e-05,1.06390241366433e-05,0.028
"DTE..52","TWFE.ever.adopted",0.951,8.8204245672667e-05,1.06390241366433e-05,0.028
"DTE..53","group.time.ATT",0.996,0.000111104608803529,1.70986362068738e-05,0.002
"DTE..53","stacked.regression",0.941,4.45107585697213e-05,1.77919469592545e-05,0.027
"DTE..53","TWFE",0.947,-0.000241804803217864,8.35942295072769e-05,0.033
"DTE..53","TWFE.ever.adopted",0.947,-0.000241804803217864,8.35942295072769e-05,0.033
"DTE..54","group.time.ATT",0.996,1.56316419064327e-05,1.65099995790466e-05,0.002
"DTE..54","stacked.regression",0.954,-6.65938502338082e-05,1.66406502929962e-05,0.023
"DTE..54","TWFE",0.951,-0.000165195153571286,8.23261667898955e-05,0.029
"DTE..54","TWFE.ever.adopted",0.951,-0.000165195153571286,8.23261667898955e-05,0.029
"DTE..55","group.time.ATT",0.992,0.00010512386151765,1.73195600728024e-05,0.003
"DTE..55","stacked.regression",0.94,-8.22254921402404e-05,1.79313629282992e-05,0.033
"DTE..55","TWFE",0.953,-6.30311364079342e-05,8.66295250757683e-05,0.027
"DTE..55","TWFE.ever.adopted",0.953,-6.30311364079342e-05,8.66295250757683e-05,0.027
"DTE..56","group.time.ATT",0.996,-4.75367737967917e-05,1.6540743366897e-05,0.001
"DTE..56","stacked.regression",0.945,-0.00018734935365789,1.71841792156092e-05,0.026
"DTE..56","TWFE",0.956,-0.000301274889202551,7.84839804612708e-05,0.024
"DTE..56","TWFE.ever.adopted",0.956,-0.000301274889202551,7.84839804612708e-05,0.024
"DTE..57","group.time.ATT",0.996,-0.00015743393366832,1.67648306937334e-05,0.002
"DTE..57","stacked.regression",0.945,-0.000139812579861099,1.69499065149775e-05,0.028
"DTE..57","TWFE",0.956,0.000315944627381002,7.56812589147618e-05,0.026
"DTE..57","TWFE.ever.adopted",0.956,0.000315944627381002,7.56812589147618e-05,0.026
"DTE..58","group.time.ATT",0.996,-5.781878950714e-07,1.70285457579716e-05,0.001
"DTE..58","stacked.regression",0.949,1.76213538072222e-05,1.69687723384206e-05,0.02
"DTE..58","TWFE",0.952,1.99189759480831e-05,8.07393858449021e-05,0.025
"DTE..58","TWFE.ever.adopted",0.952,1.99189759480831e-05,8.07393858449021e-05,0.025
"DTE..59","group.time.ATT",0.997,0.000101079049183292,1.63326787296874e-05,0.001
"DTE..59","stacked.regression",0.944,1.81995417022932e-05,1.81154442833571e-05,0.024
