"parameter","method","coverage","bias","MSE","power"
"DTE..49","TWFE.ever.adopted",0.927,0.000414462794554689,0.000127800415541142,0.035
"DTE..5","group.time.ATT",0.995,-1.92328678250548e-05,7.82508916526638e-06,0.002
"DTE..5","group.time.ATT.ever.adopted",0.961,-0.0005199659027102,3.35611228673005e-05,0.017
"DTE..5","stacked.regression",0.939,-2.80967313322006e-05,8.19166471242254e-06,0.029
"DTE..5","TWFE",0.974,-0.000141629786264434,3.85220159108756e-05,0.015
"DTE..5","TWFE.ever.adopted",0.952,-0.000108117006497961,7.34411729687381e-05,0.025
"DTE..50","group.time.ATT",0.851,-0.000120543215857017,7.09703312346921e-05,0.069
"DTE..50","group.time.ATT.ever.adopted",0.336,0.000138960500519575,0.000217938428944346,0.327
"DTE..50","stacked.regression",0.829,0.000231528416626451,7.32676449380857e-05,0.081
"DTE..50","TWFE",0.934,-4.77959212834972e-05,7.34134360407119e-05,0.03
"DTE..50","TWFE.ever.adopted",0.953,9.65058271551585e-05,8.4234112515567e-05,0.024
"DTE..51","group.time.ATT",0.823,0.000284587971600024,6.97537388321515e-05,0.082
"DTE..51","group.time.ATT.ever.adopted",0.341,0.000427122662504074,0.000210410281085857,0.325
"DTE..51","stacked.regression",0.841,0.000352071632483468,6.96778298879936e-05,0.072
"DTE..51","TWFE",0.942,4.81661945774539e-05,6.92586393771867e-05,0.027
"DTE..51","TWFE.ever.adopted",0.94,0.00021819029765228,0.000126786393783889,0.023
"DTE..52","group.time.ATT",0.813,-0.000258244792301144,7.35337538338594e-05,0.098
"DTE..52","group.time.ATT.ever.adopted",0.318,-0.000703738131095773,0.000210409647447624,0.351
"DTE..52","stacked.regression",0.834,6.74836608834456e-05,7.54453169116848e-05,0.073
"DTE..52","TWFE",0.936,-0.000246155923015994,7.24501296955493e-05,0.03
"DTE..52","TWFE.ever.adopted",0.945,-0.000259971491629449,8.72377535661994e-05,0.029
"DTE..53","group.time.ATT",0.839,0.000375082984635578,7.31078198198761e-05,0.07
"DTE..53","group.time.ATT.ever.adopted",0.325,0.000581260939149085,0.000226998938334386,0.31
"DTE..53","stacked.regression",0.832,0.000325728453184589,7.22537575504495e-05,0.087
"DTE..53","TWFE",0.932,2.72866532374691e-05,7.14827825403768e-05,0.034
"DTE..53","TWFE.ever.adopted",0.937,0.00017068395664936,0.000132372687859586,0.031
"DTE..54","group.time.ATT",0.833,-0.00047737239134078,7.86833056130526e-05,0.093
"DTE..54","group.time.ATT.ever.adopted",0.319,-0.00069233918401325,0.000223874700448265,0.36
"DTE..54","stacked.regression",0.821,-4.93545314509889e-05,7.59435085737897e-05,0.091
"DTE..54","TWFE",0.924,-0.000346487728290169,7.67163556131231e-05,0.038
"DTE..54","TWFE.ever.adopted",0.938,-0.000315485003056136,8.90646486702812e-05,0.029
"DTE..55","group.time.ATT",0.83,0.000297122465789645,7.11943848379281e-05,0.075
"DTE..55","group.time.ATT.ever.adopted",0.365,0.000548145040519827,0.000206878274759035,0.304
"DTE..55","stacked.regression",0.833,0.000428017859889791,7.17328859876834e-05,0.074
"DTE..55","TWFE",0.936,0.000149939557079221,6.95142533564111e-05,0.032
"DTE..55","TWFE.ever.adopted",0.938,0.000346760222429748,0.000128077618625675,0.031
"DTE..56","group.time.ATT",0.564,0.000175533173062051,7.62303547983675e-05,0.212
"DTE..56","stacked.regression",0.829,0.000130895394100145,7.02882475952755e-05,0.091
"DTE..56","TWFE",0.942,-0.000184641563789519,7.24358736821854e-05,0.035
"DTE..56","TWFE.ever.adopted",0.93,-0.00019257660377748,8.17894056648146e-05,0.041
"DTE..57","group.time.ATT",0.556,-0.000174417807673466,7.52858069464039e-05,0.233
"DTE..57","stacked.regression",0.353,8.84539089731942e-05,7.59382902021586e-05,0.316
"DTE..57","TWFE",0.965,-0.000257026858994907,7.67266261860406e-05,0.02
"DTE..57","TWFE.ever.adopted",0.944,-0.000189383237681041,0.000142698487329631,0.032
"DTE..58","group.time.ATT",0.547,-7.83847264127088e-05,7.54229576260356e-05,0.229
"DTE..58","stacked.regression",0.367,0.00026287171664666,7.1416514784762e-05,0.311
"DTE..58","TWFE",0.97,-3.45354494467584e-05,7.28697815531271e-05,0.017
"DTE..58","TWFE.ever.adopted",0.975,0.0001960714692545,9.26158342237593e-05,0.013
"DTE..59","group.time.ATT",0.568,0.000239180142398867,7.1421862482971e-05,0.208
"DTE..59","stacked.regression",0.357,0.000341256443059369,7.4059323513919e-05,0.301
"DTE..59","TWFE",0.966,2.41876277684133e-05,7.18881892566656e-05,0.02
"DTE..59","TWFE.ever.adopted",0.96,0.000256896282190101,0.000143075259679088,0.018
"DTE..6","group.time.ATT",0.994,9.20320350410521e-05,8.12328113304275e-06,0.004
"DTE..6","group.time.ATT.ever.adopted",0.951,0.000448175008110063,3.38784112518491e-05,0.023
"DTE..6","stacked.regression",0.936,-8.86386350714602e-06,8.02618486114583e-06,0.036
"DTE..6","TWFE",0.967,-6.04867093084848e-05,4.02044900294304e-05,0.022
"DTE..6","TWFE.ever.adopted",0.948,0.000107513666517672,6.31740600219032e-05,0.028
"DTE..60","group.time.ATT",0.56,-0.000236634142563904,7.78050781123249e-05,0.226
"DTE..60","stacked.regression",0.362,0.000102076300660502,7.55166815179589e-05,0.316
"DTE..60","TWFE",0.962,-0.000223275167861846,7.38502717812103e-05,0.02
"DTE..60","TWFE.ever.adopted",0.97,-0.000104371248574281,0.000101829808590508,0.016
"DTE..61","group.time.ATT",0.583,1.43990846524553e-06,7.17045307151541e-05,0.21
"DTE..61","stacked.regression",0.379,0.000338710443224405,7.59977810114948e-05,0.299
"DTE..61","TWFE",0.968,2.36964682848504e-05,6.98849141418266e-05,0.015
"DTE..61","TWFE.ever.adopted",0.955,0.000281081493686011,0.000140786956558457,0.02
"DTE..62","group.time.ATT",0.565,0.000435654455331318,7.40296146965091e-05,0.205
"DTE..62","stacked.regression",0.352,0.00033727053475916,7.30724199367211e-05,0.307
"DTE..62","TWFE",0.976,5.57270994463246e-06,7.26711098137288e-05,0.011
"DTE..62","TWFE.ever.adopted",0.965,5.32053266028061e-05,0.000100307410569659,0.019
"DTE..63","group.time.ATT",0.569,-0.000425693359729906,7.42489187451935e-05,0.235
"DTE..63","stacked.regression",0.356,-9.83839205721589e-05,7.62712097871863e-05,0.328
"DTE..63","TWFE",0.964,-0.00043804635140269,7.11548366815433e-05,0.018
"DTE..63","TWFE.ever.adopted",0.95,-0.000332701677034981,0.000141569325082836,0.024
"DTE..64","group.time.ATT",0.531,-5.01451440052538e-05,7.61905039029648e-05,0.237
"DTE..64","stacked.regression",0.364,0.000327309439157747,7.00427918151935e-05,0.311
"DTE..64","TWFE",0.969,-1.40778395217222e-05,7.21700916593197e-05,0.01
"DTE..64","TWFE.ever.adopted",0.968,-3.11725042725633e-05,0.000100062660104982,0.015
"DTE..65","group.time.ATT",0.569,2.65328033292121e-05,7.51362080900247e-05,0.219
"DTE..65","stacked.regression",0.377,0.000377454583163,7.71818831187411e-05,0.3
"DTE..65","TWFE",0.967,4.55265055853359e-05,7.45057443834167e-05,0.015
"DTE..65","TWFE.ever.adopted",0.945,0.000176606018693346,0.00014994012726304,0.029
