"parameter","method","coverage","bias","MSE","power"
"DTE..36","group.time.ATT.ever.adopted",0.858,-1.78958203383068e-05,5.20924913341434e-05,0.071
"DTE..36","stacked.regression",0.94,-0.000138954193991637,9.22818052821008e-06,0.037
"DTE..36","TWFE",0.978,-0.000348222374983512,3.70120154111482e-05,0.011
"DTE..36","TWFE.ever.adopted",0.978,-0.000348222374983512,3.70120154111482e-05,0.011
"DTE..37","group.time.ATT",0.955,-9.48493753916799e-05,3.07157322990242e-05,0.027
"DTE..37","group.time.ATT.ever.adopted",0.84,-0.000442327234964083,5.28914502255608e-05,0.089
"DTE..37","stacked.regression",0.904,-0.000208687006639191,2.9725054958037e-05,0.05
"DTE..37","TWFE",0.967,-8.86758625559116e-05,0.000101555078906968,0.018
"DTE..37","TWFE.ever.adopted",0.967,-8.86758625559116e-05,0.000101555078906968,0.018
"DTE..38","group.time.ATT",0.942,-7.55230801591879e-05,3.28710883510482e-05,0.027
"DTE..38","group.time.ATT.ever.adopted",0.835,0.00012875672036068,5.2930180220068e-05,0.08
"DTE..38","stacked.regression",0.899,-0.000113837631247511,3.10913501338176e-05,0.054
"DTE..38","TWFE",0.973,-0.000132234411108531,5.99574417555066e-05,0.013
"DTE..38","TWFE.ever.adopted",0.973,-0.000132234411108531,5.99574417555066e-05,0.013
"DTE..39","group.time.ATT",0.946,0.00021935041680301,3.04690626219002e-05,0.03
"DTE..39","group.time.ATT.ever.adopted",0.86,0.000453850254067459,4.89310066811403e-05,0.061
"DTE..39","stacked.regression",0.906,-3.83145510883231e-05,3.15312470037989e-05,0.055
"DTE..39","TWFE",0.965,7.59128653984216e-05,0.000104915557831013,0.017
"DTE..39","TWFE.ever.adopted",0.965,7.59128653984216e-05,0.000104915557831013,0.017
"DTE..4","group.time.ATT",0.998,4.58445799742023e-06,9.3796478376473e-06,0.002
"DTE..4","group.time.ATT.ever.adopted",0.958,-7.86198691459826e-05,2.94292018623264e-05,0.024
"DTE..4","stacked.regression",0.949,1.58684589528964e-05,8.71579778170378e-06,0.026
"DTE..4","TWFE",0.971,-0.000340520606573427,5.29897231214775e-05,0.016
"DTE..4","TWFE.ever.adopted",0.971,-0.000340520606573427,5.29897231214775e-05,0.016
"DTE..40","group.time.ATT",0.946,-0.000104965729206721,3.2829901203704e-05,0.034
"DTE..40","group.time.ATT.ever.adopted",0.837,-9.90170423319619e-05,5.39841393747372e-05,0.093
"DTE..40","stacked.regression",0.906,-0.000257664967891333,3.07206722648185e-05,0.051
"DTE..40","TWFE",0.971,-0.000396622830945847,6.26894104553415e-05,0.018
"DTE..40","TWFE.ever.adopted",0.971,-0.000396622830945847,6.26894104553415e-05,0.018
"DTE..41","group.time.ATT",0.943,0.00019971358314929,3.10756789570206e-05,0.022
"DTE..41","group.time.ATT.ever.adopted",0.838,0.00029505716058381,5.21623154536024e-05,0.073
"DTE..41","stacked.regression",0.919,-0.000152699238684612,3.1282152741945e-05,0.049
"DTE..41","TWFE",0.968,-4.80639318743049e-05,0.000102108853528347,0.015
"DTE..41","TWFE.ever.adopted",0.968,-4.80639318743049e-05,0.000102108853528347,0.015
"DTE..42","group.time.ATT",0.965,-0.000338905832607852,3.10257172981586e-05,0.019
"DTE..42","group.time.ATT.ever.adopted",0.856,-0.000418098204544772,5.14541296295177e-05,0.071
"DTE..42","stacked.regression",0.896,-0.000352412821833902,3.19184968112141e-05,0.055
"DTE..42","TWFE",0.973,-0.000458625325454961,6.37199527535369e-05,0.014
